Year,School,Coach,Conference,Salary,Season,Wins,Losses,WinPercentage,Location,Capacity,GSR
2019,Army,Jeff Monken,Indep,"932,521.00",2018,5,8,38,"West Point, New York",38000,88
2017,Army,Jeff Monken,Indep,"932,521.00",2016,8,5,62,"West Point, New York",38000,88
2020,Army,Jeff Monken,Indep,"1,000,000.00",2019,9,3,75,"West Point, New York",38000,88
2018,Army,Jeff Monken,Indep,"932,521.00",2017,10,3,77,"West Point, New York",38000,88
2016,Auburn,Gus Malzahn,SEC,"4,100,000.00",2015,7,6,54,"Auburn, Alabama",87451,60
2020,Auburn,Gus Malzahn,SEC,"6,900,000.00",2019,6,5,55,"Auburn, Alabama",87451,60
2015,Auburn,Gus Malzahn,SEC,"3,850,000.00",2014,8,5,62,"Auburn, Alabama",87451,60
2017,Auburn,Gus Malzahn,SEC,"6,700,000.00",2016,8,5,62,"Auburn, Alabama",87451,60
2019,Auburn,Gus Malzahn,SEC,"6,700,000.00",2018,9,4,69,"Auburn, Alabama",87451,60
2018,Auburn,Gus Malzahn,SEC,"4,725,000.00",2017,10,4,71,"Auburn, Alabama",87451,60
2018,Ball State,Mike Neu,MAC,"431,375.00",2017,2,10,17,"Muncie, Indiana",22500,60
2017,Ball State,Mike Neu,MAC,"425,000.00",2016,4,8,33,"Muncie, Indiana",22500,60
2019,Ball State,Mike Neu,MAC,"435,689.00",2018,5,7,42,"Muncie, Indiana",22500,60
2020,Ball State,Mike Neu,MAC,"468,000.00",2019,7,1,88,"Muncie, Indiana",22500,60
2016,Ball State,Pete Lembo,MAC,"514,250.00",2015,3,9,25,"Muncie, Indiana",22500,60
2015,Ball State,Pete Lembo,MAC,"500,000.00",2014,5,7,42,"Muncie, Indiana",22500,60
2016,Baylor,Art Briles,Big12,"4,236,073.00",2015,10,3,77,"Waco, Texas",45140,66
2015,Baylor,Art Briles,Big12,"3,135,146.00",2014,11,2,85,"Waco, Texas",45140,66
2020,Baylor,Dave Aranda,Big12,"2,500,000.00",2019,2,7,22,"Waco, Texas",45140,66
2017,Baylor,Jim Grobe,Big12,"1,250,000.00",2016,7,6,54,"Waco, Texas",45140,66
2018,Baylor,Matt Rhule,Big12,"1,000,000.00",2017,1,11,8,"Waco, Texas",45140,66
2019,Baylor,Matt Rhule,Big12,"1,000,000.00",2018,11,3,79,"Waco, Texas",45140,66
2016,Boise State,Bryan Harsin,MtWest,"1,100,004.00",2015,9,4,69,"Boise, Idaho",37000,69
2020,Boise State,Bryan Harsin,MtWest,"1,850,000.00",2019,5,2,71,"Boise, Idaho",37000,69
2017,Boise State,Bryan Harsin,MtWest,"1,100,004.00",2016,10,3,77,"Boise, Idaho",37000,69
2018,Boise State,Bryan Harsin,MtWest,"1,550,004.00",2017,11,3,79,"Boise, Idaho",37000,69
2015,Boise State,Bryan Harsin,MtWest,"1,000,004.00",2014,12,2,86,"Boise, Idaho",37000,69
2019,Boise State,Bryan Harsin,MtWest,"1,650,010.00",2018,12,2,86,"Boise, Idaho",37000,69
2020,Boston College,Jeff Hafley,ACC,"3,000,000.00",2019,6,5,55,"Chestnut Hill, Massachusetts",44500,76
2016,Boston College,Steve Addazio,ACC,"2,585,655.00",2015,3,9,25,"Chestnut Hill, Massachusetts",44500,76
2019,Boston College,Steve Addazio,ACC,"2,514,859.00",2018,6,7,46,"Chestnut Hill, Massachusetts",44500,76
2015,Boston College,Steve Addazio,ACC,"2,448,949.00",2014,7,6,54,"Chestnut Hill, Massachusetts",44500,76
2017,Boston College,Steve Addazio,ACC,"2,333,628.00",2016,7,6,54,"Chestnut Hill, Massachusetts",44500,76
2018,Boston College,Steve Addazio,ACC,"2,448,949.00",2017,7,6,54,"Chestnut Hill, Massachusetts",44500,76
2015,Bowling Green,Dino Babers,MAC,"405,000.00",2014,8,6,57,"Bowling Green, Ohio",24000,68
2016,Bowling Green,Dino Babers,MAC,"413,000.00",2015,10,4,71,"Bowling Green, Ohio",24000,68
2018,Bowling Green,Mike Jinks,MAC,"428,655.00",2017,2,10,17,"Bowling Green, Ohio",24000,68
2019,Bowling Green,Mike Jinks,MAC,"437,228.00",2018,3,9,25,"Bowling Green, Ohio",24000,68
2017,Bowling Green,Mike Jinks,MAC,"410,000.00",2016,4,8,33,"Bowling Green, Ohio",24000,68
2020,Bowling Green,Scot Loeffler,MAC,"530,000.00",2019,0,5,0,"Bowling Green, Ohio",24000,68
2015,Buffalo,Jeff Quinn,MAC,"380,210.00",2014,5,6,45,"Buffalo, New York",29013,56
2017,Buffalo,Lance Leipold,MAC,"405,500.00",2016,2,10,17,"Buffalo, New York",29013,56
2016,Buffalo,Lance Leipold,MAC,"400,000.00",2015,5,7,42,"Buffalo, New York",29013,56
2018,Buffalo,Lance Leipold,MAC,"405,500.00",2017,6,6,50,"Buffalo, New York",29013,56
2019,Buffalo,Lance Leipold,MAC,"455,500.00",2018,8,5,62,"Buffalo, New York",29013,56
2020,Buffalo,Lance Leipold,MAC,"624,300.00",2019,6,1,86,"Buffalo, New York",29013,56
2020,California,Justin Wilcox,Pac12,"3,350,000.00",2019,1,3,25,"Berkeley, California",63186,52
2018,California,Justin Wilcox,Pac12,"1,600,000.00",2017,5,7,42,"Berkeley, California",63186,52
2019,California,Justin Wilcox,Pac12,"1,500,000.00",2018,8,5,62,"Berkeley, California",63186,52
2015,California,Sonny Dykes,Pac12,"1,800,000.00",2014,5,7,42,"Berkeley, California",63186,52
2017,California,Sonny Dykes,Pac12,"2,900,000.00",2016,5,7,42,"Berkeley, California",63186,52
2016,California,Sonny Dykes,Pac12,"2,000,000.00",2015,8,5,62,"Berkeley, California",63186,52
2016,Central Florida,George O'Leary,AAC,"1,890,000.00",2015,0,12,0,"Orlando, Florida",45301,63
2015,Central Florida,George O'Leary,AAC,"1,800,000.00",2014,9,4,69,"Orlando, Florida",45301,63
2020,Central Florida,Josh Heupel,AAC,"2,300,000.00",2019,6,4,60,"Orlando, Florida",45301,63
2019,Central Florida,Josh Heupel,AAC,"1,700,000.00",2018,10,3,77,"Orlando, Florida",45301,63
2017,Central Florida,Scott Frost,AAC,"1,700,000.00",2016,6,7,46,"Orlando, Florida",45301,63
2018,Central Florida,Scott Frost,AAC,"2,000,000.00",2017,13,0,100,"Orlando, Florida",45301,63
2015,Central Michigan,Dan Enos,MAC,"360,000.00",2014,7,6,54,"Mount Pleasant, Michigan",30255,58
2020,Central Michigan,Jim McElwain,MAC,"815,000.00",2019,3,3,50,"Mount Pleasant, Michigan",30255,58
2017,Central Michigan,John Bonamego,MAC,"545,640.00",2016,6,7,46,"Mount Pleasant, Michigan",30255,58
2016,Central Michigan,John Bonamego,MAC,"533,500.00",2015,7,6,54,"Mount Pleasant, Michigan",30255,58
2019,Central Michigan,John Bonamego,MAC,"655,000.00",2018,8,6,57,"Mount Pleasant, Michigan",30255,58
2018,Central Michigan,John Bonamego,MAC,"545,640.00",2017,8,5,62,"Mount Pleasant, Michigan",30255,58
2018,Charlotte,Brad Lambert,CUSA,"625,000.00",2017,1,11,8,"Charlotte, North Carolina",15314,80
2016,Charlotte,Brad Lambert,CUSA,"600,000.00",2015,2,10,17,"Charlotte, North Carolina",15314,80
2017,Charlotte,Brad Lambert,CUSA,"625,000.00",2016,4,8,33,"Charlotte, North Carolina",15314,80
2019,Charlotte,Brad Lambert,CUSA,"625,000.00",2018,7,6,54,"Charlotte, North Carolina",15314,80
2020,Charlotte,Will Healy,CUSA,"855,000.00",2019,2,4,33,"Charlotte, North Carolina",15314,80
2018,Cincinnati,Luke Fickell,AAC,"1,900,000.00",2017,4,8,33,"Cincinnati, Ohio",35000,65
2019,Cincinnati,Luke Fickell,AAC,"2,000,000.00",2018,11,3,79,"Cincinnati, Ohio",35000,65
2020,Cincinnati,Luke Fickell,AAC,"3,400,000.00",2019,9,1,90,"Cincinnati, Ohio",35000,65
2017,Cincinnati,Tommy Tuberville,AAC,"2,200,000.00",2016,4,8,33,"Cincinnati, Ohio",35000,65
2016,Cincinnati,Tommy Tuberville,AAC,"2,200,000.00",2015,7,6,54,"Cincinnati, Ohio",35000,65
2015,Cincinnati,Tommy Tuberville,AAC,"2,200,000.00",2014,9,4,69,"Cincinnati, Ohio",35000,65
2015,Clemson,Dabo Swinney,ACC,"3,150,000.00",2014,10,3,77,"Clemson, South Carolina",81500,70
2020,Clemson,Dabo Swinney,ACC,"8,258,575.00",2019,10,2,83,"Clemson, South Carolina",81500,70
2018,Clemson,Dabo Swinney,ACC,"8,504,600.00",2017,12,2,86,"Clemson, South Carolina",81500,70
2016,Clemson,Dabo Swinney,ACC,"3,300,000.00",2015,14,1,93,"Clemson, South Carolina",81500,70
2017,Clemson,Dabo Swinney,ACC,"6,205,000.00",2016,14,1,93,"Clemson, South Carolina",81500,70
2019,Clemson,Dabo Swinney,ACC,"6,205,000.00",2018,14,1,93,"Clemson, South Carolina",81500,70
2020,Coastal Carolina,Jamey Chadwell,SunBelt,"375,000.00",2019,11,1,92,"Conway, South Carolina",9214,58
2018,Coastal Carolina,Joe Moglia,SunBelt,"400,000.00",2017,3,9,25,"Conway, South Carolina",9214,58
2019,Coastal Carolina,Joe Moglia,SunBelt,"400,000.00",2018,5,7,42,"Conway, South Carolina",9214,58
2016,Coastal Carolina,Joe Moglia,SunBelt,"400,000.00",2015,9,3,75,"Conway, South Carolina",9214,58
2017,Coastal Carolina,Joe Moglia,SunBelt,"400,000.00",2016,10,2,83,"Conway, South Carolina",9214,58
2015,Coastal Carolina,Joe Moglia,SunBelt,"400,000.00",2014,12,2,86,"Conway, South Carolina",9214,58
2020,Colorado,Karl Dorrell,Pac12,"3,200,000.00",2019,4,2,67,"Boulder, Colorado",53613,63
2015,Colorado,Mike MacIntyre,Pac12,"2,008,500.00",2014,2,10,17,"Boulder, Colorado",53613,63
2016,Colorado,Mike MacIntyre,Pac12,"2,009,778.00",2015,4,9,31,"Boulder, Colorado",53613,63
2018,Colorado,Mike MacIntyre,Pac12,"2,803,500.00",2017,5,7,42,"Boulder, Colorado",53613,63
