Year,School,Coach,Conference,Salary,Season,Wins,Losses,WinPercentage,Location,Capacity,GSR
2018,Idaho,Paul Petrino,SunBelt,"446,214.00",2017,4,8,33,"Moscow, Idaho",16000,32
2019,Idaho,Paul Petrino,SunBelt,"446,214.00",2018,4,7,36,"Moscow, Idaho",16000,32
2020,Idaho,Paul Petrino,SunBelt,"446,214.00",2019,5,7,42,"Moscow, Idaho",16000,32
2017,Idaho,Paul Petrino,SunBelt,"417,104.00",2016,9,4,69,"Moscow, Idaho",16000,32
2016,Illinois,Bill Cubit,BigTen,"915,000.00",2015,5,7,42,"Champaign, Illinois",60670,65
2018,Illinois,Lovie Smith,BigTen,"3,000,000.00",2017,2,10,17,"Champaign, Illinois",60670,65
2017,Illinois,Lovie Smith,BigTen,"1,809,179.00",2016,3,9,25,"Champaign, Illinois",60670,65
2020,Illinois,Lovie Smith,BigTen,"4,000,000.00",2019,2,6,25,"Champaign, Illinois",60670,65
2019,Illinois,Lovie Smith,BigTen,"5,000,000.00",2018,6,7,46,"Champaign, Illinois",60670,65
2015,Illinois,Tim Beckman,BigTen,"1,950,000.00",2014,6,7,46,"Champaign, Illinois",60670,65
2015,Indiana,Kevin Wilson,BigTen,"1,301,644.00",2014,4,8,33,"Bloomington, Indiana",52929,68
2016,Indiana,Kevin Wilson,BigTen,"1,312,277.00",2015,6,7,46,"Bloomington, Indiana",52929,68
2017,Indiana,Kevin Wilson,BigTen,"2,320,000.00",2016,6,7,46,"Bloomington, Indiana",52929,68
2018,Indiana,Tom Allen,BigTen,"1,830,000.00",2017,5,7,42,"Bloomington, Indiana",52929,68
2019,Indiana,Tom Allen,BigTen,"1,830,000.00",2018,8,5,62,"Bloomington, Indiana",52929,68
2020,Indiana,Tom Allen,BigTen,"3,770,000.00",2019,6,2,75,"Bloomington, Indiana",52929,68
2015,Iowa,Kirk Ferentz,BigTen,"4,075,000.00",2014,7,6,54,"Iowa City, Iowa",70585,64
2017,Iowa,Kirk Ferentz,BigTen,"4,500,000.00",2016,8,5,62,"Iowa City, Iowa",70585,64
2018,Iowa,Kirk Ferentz,BigTen,"4,550,000.00",2017,8,5,62,"Iowa City, Iowa",70585,64
2020,Iowa,Kirk Ferentz,BigTen,"4,900,000.00",2019,6,2,75,"Iowa City, Iowa",70585,64
2019,Iowa,Kirk Ferentz,BigTen,"4,700,000.00",2018,10,3,77,"Iowa City, Iowa",70585,64
2016,Iowa,Kirk Ferentz,BigTen,"4,075,000.00",2015,12,2,86,"Iowa City, Iowa",70585,64
2017,Iowa State,Matt Campbell,Big12,"2,000,000.00",2016,3,9,25,"Ames, Iowa",55000,62
2019,Iowa State,Matt Campbell,Big12,"3,500,000.00",2018,7,6,54,"Ames, Iowa",55000,62
2018,Iowa State,Matt Campbell,Big12,"2,100,000.00",2017,8,5,62,"Ames, Iowa",55000,62
2020,Iowa State,Matt Campbell,Big12,"3,700,000.00",2019,9,3,75,"Ames, Iowa",55000,62
2015,Iowa State,Paul Rhoads,Big12,"1,800,000.00",2014,2,10,17,"Ames, Iowa",55000,62
2016,Iowa State,Paul Rhoads,Big12,"2,200,000.00",2015,3,9,25,"Ames, Iowa",55000,62
2015,Kansas,Charlie Weis,Big12,"2,500,000.00",2014,3,9,25,"Lawrence, Kansas",50071,62
2016,Kansas,David Beaty,Big12,"801,169.00",2015,0,12,0,"Lawrence, Kansas",50071,62
2018,Kansas,David Beaty,Big12,"1,701,109.00",2017,1,11,8,"Lawrence, Kansas",50071,62
2017,Kansas,David Beaty,Big12,"1,601,109.00",2016,2,10,17,"Lawrence, Kansas",50071,62
2019,Kansas,David Beaty,Big12,"1,701,109.00",2018,3,9,25,"Lawrence, Kansas",50071,62
2020,Kansas,Les Miles,Big12,"3,450,000.00",2019,0,9,0,"Lawrence, Kansas",50071,62
2016,Kansas State,Bill Snyder,Big12,"3,000,000.00",2015,6,7,46,"Manhattan, Kansas",50300,64
2018,Kansas State,Bill Snyder,Big12,"3,200,000.00",2017,8,5,62,"Manhattan, Kansas",50300,64
2019,Kansas State,Bill Snyder,Big12,"3,500,000.00",2018,8,5,62,"Manhattan, Kansas",50300,64
2015,Kansas State,Bill Snyder,Big12,"2,900,000.00",2014,9,4,69,"Manhattan, Kansas",50300,64
2017,Kansas State,Bill Snyder,Big12,"3,100,000.00",2016,9,4,69,"Manhattan, Kansas",50300,64
2020,Kansas State,Chris Klieman,Big12,"2,500,000.00",2019,4,6,40,"Manhattan, Kansas",50300,64
2018,Kent State,Paul Haynes,MAC,"414,030.00",2017,2,10,17,"Kent, Ohio",29287,62
2015,Kent State,Paul Haynes,MAC,"382,500.00",2014,2,9,18,"Kent, Ohio",29287,62
2016,Kent State,Paul Haynes,MAC,"390,150.00",2015,3,9,25,"Kent, Ohio",29287,62
2017,Kent State,Paul Haynes,MAC,"405,912.00",2016,3,9,25,"Kent, Ohio",29287,62
2019,Kent State,Sean Lewis,MAC,"440,000.00",2018,7,6,54,"Kent, Ohio",29287,62
2020,Kent State,Sean Lewis,MAC,"460,000.00",2019,3,1,75,"Kent, Ohio",29287,62
2015,Kentucky,Mark Stoops,SEC,"2,700,000.00",2014,5,7,42,"Lexington, Kentucky",67606,54
2016,Kentucky,Mark Stoops,SEC,"3,250,000.00",2015,5,7,42,"Lexington, Kentucky",67606,54
2020,Kentucky,Mark Stoops,SEC,"5,000,000.00",2019,5,6,45,"Lexington, Kentucky",67606,54
2017,Kentucky,Mark Stoops,SEC,"3,500,000.00",2016,7,6,54,"Lexington, Kentucky",67606,54
2018,Kentucky,Mark Stoops,SEC,"3,750,000.00",2017,7,6,54,"Lexington, Kentucky",67606,54
2019,Kentucky,Mark Stoops,SEC,"4,000,000.00",2018,8,5,62,"Lexington, Kentucky",67606,54
2020,Liberty,Hugh Freeze,Indep,"1,500,000.00",2019,10,1,91,"Lynchburg, VA",25000,66
2015,Liberty,Turner Gill,BigSouth,"750,116.00",2014,6,5,55,"Lynchburg, VA",25000,66
2016,Liberty,Turner Gill,BigSouth,"716,216.00",2015,6,5,55,"Lynchburg, VA",25000,66
2017,Liberty,Turner Gill,BigSouth,"809,072.00",2016,6,5,55,"Lynchburg, VA",25000,66
2018,Liberty,Turner Gill,Indep,"809,072.00",2017,6,6,50,"Lynchburg, VA",25000,66
2019,Liberty,Turner Gill,Indep,"947,281.00",2018,8,5,62,"Lynchburg, VA",25000,66
2020,Louisiana State,Ed Orgeron,SEC,"8,687,500.00",2019,5,5,50,"Baton Rouge, Louisiana",92400,41
2018,Louisiana State,Ed Orgeron,SEC,"3,500,000.00",2017,9,4,69,"Baton Rouge, Louisiana",92400,41
2019,Louisiana State,Ed Orgeron,SEC,"3,500,000.00",2018,15,0,100,"Baton Rouge, Louisiana",92400,41
2015,Louisiana State,Les Miles,SEC,"4,300,000.00",2014,8,5,62,"Baton Rouge, Louisiana",92400,41
2017,Louisiana State,Les Miles,SEC,"4,300,000.00",2016,8,4,67,"Baton Rouge, Louisiana",92400,41
2016,Louisiana State,Les Miles,SEC,"4,300,000.00",2015,9,3,75,"Baton Rouge, Louisiana",92400,41
2020,Louisiana Tech,Skip Holtz,CUSA,"700,000.00",2019,5,5,50,"Ruston, Louisiana",30600,53
2018,Louisiana Tech,Skip Holtz,CUSA,"700,000.00",2017,7,6,54,"Ruston, Louisiana",30600,53
2015,Louisiana Tech,Skip Holtz,CUSA,"500,000.00",2014,9,5,64,"Ruston, Louisiana",30600,53
2017,Louisiana Tech,Skip Holtz,CUSA,"500,000.00",2016,9,5,64,"Ruston, Louisiana",30600,53
2016,Louisiana Tech,Skip Holtz,CUSA,"500,000.00",2015,9,4,69,"Ruston, Louisiana",30600,53
2019,Louisiana Tech,Skip Holtz,CUSA,"700,000.00",2018,10,3,77,"Ruston, Louisiana",30600,53
2019,Louisiana-Lafayette,Billy Napier,SunBelt,"850,000.00",2018,11,3,79,"Lafayette, Louisiana",31000,61
2020,Louisiana-Lafayette,Billy Napier,SunBelt,"1,005,000.00",2019,10,1,91,"Lafayette, Louisiana",31000,61
2016,Louisiana-Lafayette,Mark Hudspeth,SunBelt,"1,050,000.00",2015,4,8,33,"Lafayette, Louisiana",31000,61
2018,Louisiana-Lafayette,Mark Hudspeth,SunBelt,"1,150,000.00",2017,5,7,42,"Lafayette, Louisiana",31000,61
2017,Louisiana-Lafayette,Mark Hudspeth,SunBelt,"1,100,000.00",2016,6,7,46,"Lafayette, Louisiana",31000,61
2015,Louisiana-Lafayette,Mark Hudspeth,SunBelt,"1,000,000.00",2014,9,4,69,"Lafayette, Louisiana",31000,61
2020,Louisiana-Monroe,Matt Viator,SunBelt,"390,000.00",2019,0,10,0,"Monroe, Louisiana",30427,63
2017,Louisiana-Monroe,Matt Viator,SunBelt,"390,000.00",2016,4,8,33,"Monroe, Louisiana",30427,63
2018,Louisiana-Monroe,Matt Viator,SunBelt,"390,000.00",2017,4,8,33,"Monroe, Louisiana",30427,63
2019,Louisiana-Monroe,Matt Viator,SunBelt,"390,000.00",2018,5,7,42,"Monroe, Louisiana",30427,63
2016,Louisiana-Monroe,Todd Berry,SunBelt,"360,000.00",2015,2,11,15,"Monroe, Louisiana",30427,63
2015,Louisiana-Monroe,Todd Berry,SunBelt,"357,000.00",2014,4,8,33,"Monroe, Louisiana",30427,63
2016,Louisville,Bobby Petrino,ACC,"3,000,000.00",2015,8,5,62,"Louisville, Kentucky",55000,77
2018,Louisville,Bobby Petrino,ACC,"3,930,434.00",2017,8,5,62,"Louisville, Kentucky",55000,77
2019,Louisville,Bobby Petrino,ACC,"3,980,434.00",2018,8,5,62,"Louisville, Kentucky",55000,77
2015,Louisville,Bobby Petrino,ACC,"3,000,000.00",2014,9,4,69,"Louisville, Kentucky",55000,77
2017,Louisville,Bobby Petrino,ACC,"3,880,434.00",2016,9,4,69,"Louisville, Kentucky",55000,77
2020,Louisville,Scott Satterfield,ACC,"3,250,000.00",2019,4,7,36,"Louisville, Kentucky",55000,77
2017,Marshall,Doc Holliday,CUSA,"762,570.00",2016,3,9,25,"Huntington, West Virginia",38019,57
2018,Marshall,Doc Holliday,CUSA,"762,570.00",2017,8,5,62,"Huntington, West Virginia",38019,57
2019,Marshall,Doc Holliday,CUSA,"762,570.00",2018,8,5,62,"Huntington, West Virginia",38019,57
2020,Marshall,Doc Holliday,CUSA,"762,570.00",2019,7,3,70,"Huntington, West Virginia",38019,57
2016,Marshall,Doc Holliday,CUSA,"755,500.00",2015,10,3,77,"Huntington, West Virginia",38019,57
2015,Marshall,Doc Holliday,CUSA,"607,070.00",2014,13,1,93,"Huntington, West Virginia",38019,57
2019,Maryland,DJ Durkin,BigTen,"2,512,000.00",2018,3,9,25,"College Park, Maryland",51500,66
2018,Maryland,DJ Durkin,BigTen,"2,462,000.00",2017,4,8,33,"College Park, Maryland",51500,66
2017,Maryland,DJ Durkin,BigTen,"2,412,000.00",2016,6,7,46,"College Park, Maryland",51500,66
2020,Maryland,Mike Locksley,BigTen,"2,605,000.00",2019,2,3,40,"College Park, Maryland",51500,66
2016,Maryland,Randy Edsall,BigTen,"2,110,648.00",2015,3,9,25,"College Park, Maryland",51500,66
2015,Maryland,Randy Edsall,BigTen,"2,033,680.00",2014,7,6,54,"College Park, Maryland",51500,66
2019,Massachusetts,Mark Whipple,Indep,"500,000.00",2018,1,11,8,"Amherst, Massachusetts",68756,49
2017,Massachusetts,Mark Whipple,Indep,"467,965.00",2016,2,10,17,"Amherst, Massachusetts",68756,49
2018,Massachusetts,Mark Whipple,Indep,"472,654.00",2017,4,8,33,"Amherst, Massachusetts",68756,49
2015,Massachusetts,Mark Whipple,MAC,"450,000.00",2014,3,9,25,"Amherst, Massachusetts",68756,49
2016,Massachusetts,Mark Whipple,MAC,"450,000.00",2015,3,9,25,"Amherst, Massachusetts",68756,49
2020,Massachusetts,Walt Bell,Indep,"660,000.00",2019,0,4,0,"Amherst, Massachusetts",68756,49
2016,Memphis,Justin Fuente,AAC,"1,400,000.00",2015,9,4,69,"Memphis, Tennessee",61008,46
2015,Memphis,Justin Fuente,AAC,"1,006,779.00",2014,10,3,77,"Memphis, Tennessee",61008,46
2017,Memphis,Mike Norvell,AAC,"1,800,000.00",2016,8,5,62,"Memphis, Tennessee",61008,46
2018,Memphis,Mike Norvell,AAC,"1,860,000.00",2017,10,3,77,"Memphis, Tennessee",61008,46
2019,Memphis,Mike Norvell,AAC,"2,600,000.00",2018,12,2,86,"Memphis, Tennessee",61008,46
2020,Memphis,Ryan Silverfield,AAC,"1,750,000.00",2019,8,3,73,"Memphis, Tennessee",61008,46
2015,Miami (Fla.),Al Golden,ACC,"2,250,943.00",2014,6,7,46,"Coral Gables, Florida",75504,59
2016,Miami (Fla.),Al Golden,ACC,"2,539,315.00",2015,8,5,62,"Coral Gables, Florida",75504,59
2020,Miami (Fla.),Manny Diaz,ACC,"3,100,000.00",2019,8,3,73,"Coral Gables, Florida",75504,59
2019,Miami (Fla.),Mark Richt,ACC,"4,058,061.00",2018,6,7,46,"Coral Gables, Florida",75504,59
2017,Miami (Fla.),Mark Richt,ACC,"4,058,061.00",2016,9,4,69,"Coral Gables, Florida",75504,59
2018,Miami (Fla.),Mark Richt,ACC,"4,058,061.00",2017,10,3,77,"Coral Gables, Florida",75504,59
2015,Miami (Ohio),Chuck Martin,MAC,"450,000.00",2014,2,10,17,"Oxford, Ohio",24286,74
2016,Miami (Ohio),Chuck Martin,MAC,"450,000.00",2015,3,9,25,"Oxford, Ohio",24286,74
2018,Miami (Ohio),Chuck Martin,MAC,"522,300.00",2017,5,7,42,"Oxford, Ohio",24286,74
2017,Miami (Ohio),Chuck Martin,MAC,"472,300.00",2016,6,7,46,"Oxford, Ohio",24286,74
2019,Miami (Ohio),Chuck Martin,MAC,"524,826.00",2018,8,6,57,"Oxford, Ohio",24286,74
2020,Miami (Ohio),Chuck Martin,MAC,"550,000.00",2019,2,1,67,"Oxford, Ohio",24286,74
2015,Michigan,Brady Hoke,BigTen,"2,854,000.00",2014,5,7,42,"Ann Arbor, Michigan",106201,69
2020,Michigan,Jim Harbaugh,BigTen,"8,054,000.00",2019,2,4,33,"Ann Arbor, Michigan",106201,69
2018,Michigan,Jim Harbaugh,BigTen,"7,004,000.00",2017,8,5,62,"Ann Arbor, Michigan",106201,69
2019,Michigan,Jim Harbaugh,BigTen,"7,504,000.00",2018,9,4,69,"Ann Arbor, Michigan",106201,69
2016,Michigan,Jim Harbaugh,BigTen,"7,004,000.00",2015,10,3,77,"Ann Arbor, Michigan",106201,69
2017,Michigan,Jim Harbaugh,BigTen,"9,004,000.00",2016,10,3,77,"Ann Arbor, Michigan",106201,69
2017,Michigan State,Mark Dantonio,BigTen,"4,300,000.00",2016,3,9,25,"East Lansing, Michigan",75005,67
2019,Michigan State,Mark Dantonio,BigTen,"4,390,417.00",2018,7,6,54,"East Lansing, Michigan",75005,67
2018,Michigan State,Mark Dantonio,BigTen,"4,380,492.00",2017,10,3,77,"East Lansing, Michigan",75005,67
2015,Michigan State,Mark Dantonio,BigTen,"5,611,845.00",2014,11,2,85,"East Lansing, Michigan",75005,67
2016,Michigan State,Mark Dantonio,BigTen,"3,671,520.00",2015,12,2,86,"East Lansing, Michigan",75005,67
2020,Michigan State,Mel Tucker,BigTen,"5,057,000.00",2019,2,5,29,"East Lansing, Michigan",75005,67
2019,Middle Tennessee,Rick Stockstill,CUSA,"801,504.00",2018,4,8,33,"Murfreesboro, Tennessee",31000,65
2020,Middle Tennessee,Rick Stockstill,CUSA,"901,504.00",2019,3,6,33,"Murfreesboro, Tennessee",31000,65
2015,Middle Tennessee,Rick Stockstill,CUSA,"801,504.00",2014,6,6,50,"Murfreesboro, Tennessee",31000,65
2016,Middle Tennessee,Rick Stockstill,CUSA,"801,504.00",2015,7,6,54,"Murfreesboro, Tennessee",31000,65
2018,Middle Tennessee,Rick Stockstill,CUSA,"801,504.00",2017,7,6,54,"Murfreesboro, Tennessee",31000,65
2017,Middle Tennessee,Rick Stockstill,CUSA,"801,504.00",2016,8,5,62,"Murfreesboro, Tennessee",31000,65
2016,Minnesota,Jerry Kill,BigTen,"2,500,000.00",2015,6,7,46,"Minneapolis, Minnesota",50000,71
2015,Minnesota,Jerry Kill,BigTen,"2,100,000.00",2014,8,5,62,"Minneapolis, Minnesota",50000,71
2018,Minnesota,P.J. Fleck,BigTen,"3,500,000.00",2017,5,7,42,"Minneapolis, Minnesota",50000,71
2020,Minnesota,P.J. Fleck,BigTen,"4,600,000.00",2019,3,4,43,"Minneapolis, Minnesota",50000,71
2019,Minnesota,P.J. Fleck,BigTen,"3,550,000.00",2018,11,2,85,"Minneapolis, Minnesota",50000,71
2017,Minnesota,Tracy Claeys,BigTen,"1,400,000.00",2016,9,4,69,"Minneapolis, Minnesota",50000,71
2017,Mississippi,Hugh Freeze,SEC,"4,700,000.00",2016,5,7,42,"University, Mississippi",60580,52
2015,Mississippi,Hugh Freeze,SEC,"3,000,000.00",2014,9,4,69,"University, Mississippi",60580,52
2016,Mississippi,Hugh Freeze,SEC,"4,300,000.00",2015,10,3,77,"University, Mississippi",60580,52
2020,Mississippi,Lane Kiffin,SEC,"3,900,000.00",2019,5,5,50,"University, Mississippi",60580,52
2019,Mississippi,Matt Luke,SEC,"3,000,000.00",2018,4,8,33,"University, Mississippi",60580,52
2018,Mississippi,Matt Luke,SEC,"1,160,000.00",2017,6,6,50,"University, Mississippi",60580,52
2017,Mississippi State,Dan Mullen,SEC,"4,200,000.00",2016,6,7,46,"Mississippi State, Mississippi",61337,68
2016,Mississippi State,Dan Mullen,SEC,"4,000,000.00",2015,9,4,69,"Mississippi State, Mississippi",61337,68
2018,Mississippi State,Dan Mullen,SEC,"4,500,000.00",2017,9,4,69,"Mississippi State, Mississippi",61337,68
2015,Mississippi State,Dan Mullen,SEC,"3,000,000.00",2014,10,3,77,"Mississippi State, Mississippi",61337,68
2019,Mississippi State,Joe Moorhead,SEC,"2,600,000.00",2018,6,7,46,"Mississippi State, Mississippi",61337,68
2020,Mississippi State,Mike Leach,SEC,"5,000,000.00",2019,4,7,36,"Mississippi State, Mississippi",61337,68
2017,Missouri,Barry Odom,SEC,"2,350,000.00",2016,4,8,33,"Columbia, Missouri",71004,77
2019,Missouri,Barry Odom,SEC,"2,350,000.00",2018,6,6,50,"Columbia, Missouri",71004,77
2018,Missouri,Barry Odom,SEC,"2,350,000.00",2017,7,6,54,"Columbia, Missouri",71004,77
2020,Missouri,Eliah Drinkwitz,SEC,"4,025,000.00",2019,5,5,50,"Columbia, Missouri",71004,77
2016,Missouri,Gary Pinkel,SEC,"3,768,889.00",2015,5,7,42,"Columbia, Missouri",71004,77
2015,Missouri,Gary Pinkel,SEC,"3,400,000.00",2014,11,3,79,"Columbia, Missouri",71004,77
2020,Navy,Ken Niumatalolo,AAC,"2,163,000.00",2019,3,7,30,"Annapolis, Maryland",34000,100
2018,Navy,Ken Niumatalolo,AAC,"2,000,000.00",2017,7,6,54,"Annapolis, Maryland",34000,100
2017,Navy,Ken Niumatalolo,AAC,"2,000,000.00",2016,9,5,64,"Annapolis, Maryland",34000,100
2016,Navy,Ken Niumatalolo,AAC,"1,637,803.00",2015,11,2,85,"Annapolis, Maryland",34000,100
2019,Navy,Ken Niumatalolo,AAC,"2,163,000.00",2018,11,2,85,"Annapolis, Maryland",34000,100
2015,Navy,Ken Niumatalolo,Indep,"1,574,810.00",2014,8,5,62,"Annapolis, Maryland",34000,100
2015,Nebraska,Bo Pelini,BigTen,"3,077,646.00",2014,9,4,69,"Lincoln, Nebraska",81091,72
2018,Nebraska,Mike Riley,BigTen,"2,900,000.00",2017,4,8,33,"Lincoln, Nebraska",81091,72
2016,Nebraska,Mike Riley,BigTen,"2,700,000.00",2015,6,7,46,"Lincoln, Nebraska",81091,72
2017,Nebraska,Mike Riley,BigTen,"2,800,000.00",2016,9,4,69,"Lincoln, Nebraska",81091,72
2020,Nebraska,Scott Frost,BigTen,"5,000,000.00",2019,3,5,38,"Lincoln, Nebraska",81091,72
2019,Nebraska,Scott Frost,BigTen,"5,000,000.00",2018,5,7,42,"Lincoln, Nebraska",81091,72
2017,Nevada,Brian Polian,MtWest,"575,000.00",2016,5,7,42,"Reno, Nevada",29993,43
2015,Nevada,Brian Polian,MtWest,"575,000.00",2014,7,6,54,"Reno, Nevada",29993,43
2016,Nevada,Brian Polian,MtWest,"575,000.00",2015,7,6,54,"Reno, Nevada",29993,43
2018,Nevada,Jay Norvell,MtWest,"450,000.00",2017,3,9,25,"Reno, Nevada",29993,43
2019,Nevada,Jay Norvell,MtWest,"500,000.00",2018,7,6,54,"Reno, Nevada",29993,43
2020,Nevada,Jay Norvell,MtWest,"625,000.00",2019,7,2,78,"Reno, Nevada",29993,43
2015,Nevada-Las Vegas,Bobby Hauck,MtWest,"850,000.00",2014,2,11,15,"Las Vegas, Nevada",36800,56
2020,Nevada-Las Vegas,Marcus Arroyo,MtWest,"1,500,000.00",2019,0,6,0,"Las Vegas, Nevada",36800,56
2016,Nevada-Las Vegas,Tony Sanchez,MtWest,"560,000.00",2015,3,9,25,"Las Vegas, Nevada",36800,56
2017,Nevada-Las Vegas,Tony Sanchez,MtWest,"510,000.00",2016,4,8,33,"Las Vegas, Nevada",36800,56
2019,Nevada-Las Vegas,Tony Sanchez,MtWest,"600,000.00",2018,4,8,33,"Las Vegas, Nevada",36800,56
2018,Nevada-Las Vegas,Tony Sanchez,MtWest,"600,000.00",2017,5,7,42,"Las Vegas, Nevada",36800,56
2019,New Mexico,Bob Davie,MtWest,"823,740.00",2018,2,10,17,"Albuquerque, New Mexico",42000,41
2018,New Mexico,Bob Davie,MtWest,"822,690.00",2017,3,9,25,"Albuquerque, New Mexico",42000,41
2015,New Mexico,Bob Davie,MtWest,"772,690.00",2014,4,8,33,"Albuquerque, New Mexico",42000,41
2016,New Mexico,Bob Davie,MtWest,"772,690.00",2015,7,6,54,"Albuquerque, New Mexico",42000,41
2017,New Mexico,Bob Davie,MtWest,"822,690.00",2016,9,4,69,"Albuquerque, New Mexico",42000,41
2020,New Mexico,Danny Gonzales,MtWest,"725,000.00",2019,2,5,29,"Albuquerque, New Mexico",42000,41
2019,New Mexico State,Doug Martin,Indep,"419,640.00",2018,2,10,17,"Las Cruces, New Mexico",30343,63
2020,New Mexico State,Doug Martin,Indep,"429,000.00",2019,1,1,50,"Las Cruces, New Mexico",30343,63
2015,New Mexico State,Doug Martin,SunBelt,"376,044.00",2014,2,10,17,"Las Cruces, New Mexico",30343,63
2016,New Mexico State,Doug Martin,SunBelt,"376,044.00",2015,3,9,25,"Las Cruces, New Mexico",30343,63
2017,New Mexico State,Doug Martin,SunBelt,"376,044.00",2016,3,9,25,"Las Cruces, New Mexico",30343,63
2018,New Mexico State,Doug Martin,SunBelt,"376,044.00",2017,7,6,54,"Las Cruces, New Mexico",30343,63
2018,North Carolina,Larry Fedora,ACC,"2,290,000.00",2017,3,9,25,"Chapel Hill, North Carolina",63000,48
2015,North Carolina,Larry Fedora,ACC,"1,830,000.00",2014,6,7,46,"Chapel Hill, North Carolina",63000,48
2019,North Carolina,Larry Fedora,ACC,"2,575,000.00",2018,7,6,54,"Chapel Hill, North Carolina",63000,48
2017,North Carolina,Larry Fedora,ACC,"1,986,265.00",2016,8,5,62,"Chapel Hill, North Carolina",63000,48
2016,North Carolina,Larry Fedora,ACC,"1,931,000.00",2015,11,3,79,"Chapel Hill, North Carolina",63000,48
2020,North Carolina,Mack Brown,ACC,"3,500,000.00",2019,8,4,67,"Chapel Hill, North Carolina",63000,48
2019,North Carolina State,Dave Doeren,ACC,"3,000,000.00",2018,4,8,33,"Raleigh, North Carolina",57583,61
2016,North Carolina State,Dave Doeren,ACC,"2,200,000.00",2015,7,6,54,"Raleigh, North Carolina",57583,61
2017,North Carolina State,Dave Doeren,ACC,"2,200,000.00",2016,7,6,54,"Raleigh, North Carolina",57583,61
2015,North Carolina State,Dave Doeren,ACC,"1,800,000.00",2014,8,5,62,"Raleigh, North Carolina",57583,61
2020,North Carolina State,Dave Doeren,ACC,"3,250,000.00",2019,8,4,67,"Raleigh, North Carolina",57583,61
2018,North Carolina State,Dave Doeren,ACC,"2,212,600.00",2017,9,4,69,"Raleigh, North Carolina",57583,61
2016,North Texas,Dan McCarney,CUSA,"720,000.00",2015,1,11,8,"Denton, Texas",30850,65
2015,North Texas,Dan McCarney,CUSA,"710,000.00",2014,4,8,33,"Denton, Texas",30850,65
2019,North Texas,Seth Littrell,CUSA,"1,425,000.00",2018,4,8,33,"Denton, Texas",30850,65
2017,North Texas,Seth Littrell,CUSA,"815,000.00",2016,5,8,38,"Denton, Texas",30850,65
2020,North Texas,Seth Littrell,CUSA,"1,850,000.00",2019,4,6,40,"Denton, Texas",30850,65
2018,North Texas,Seth Littrell,CUSA,"991,416.00",2017,9,5,64,"Denton, Texas",30850,65
2017,Northern Illinois,Rod Carey,MAC,"623,000.00",2016,5,7,42,"De Kalb, Illinois",30998,63
2019,Northern Illinois,Rod Carey,MAC,"633,460.00",2018,5,7,42,"De Kalb, Illinois",30998,63
2016,Northern Illinois,Rod Carey,MAC,"400,000.00",2015,8,6,57,"De Kalb, Illinois",30998,63
2018,Northern Illinois,Rod Carey,MAC,"623,000.00",2017,8,5,62,"De Kalb, Illinois",30998,63
2015,Northern Illinois,Rod Carey,MAC,"400,000.00",2014,11,3,79,"De Kalb, Illinois",30998,63
2020,Northern Illinois,Thomas Hammock,MAC,"620,204.00",2019,0,6,0,"De Kalb, Illinois",30998,63
2019,Northwestern,Pat Fitzgerald,BigTen,"3,619,775.00",2018,3,9,25,"Evanston, Illinois",49256,92
2015,Northwestern,Pat Fitzgerald,BigTen,"2,480,967.00",2014,5,7,42,"Evanston, Illinois",49256,92
2017,Northwestern,Pat Fitzgerald,BigTen,"3,350,638.00",2016,7,6,54,"Evanston, Illinois",49256,92
2016,Northwestern,Pat Fitzgerald,BigTen,"2,490,858.00",2015,10,3,77,"Evanston, Illinois",49256,92
2018,Northwestern,Pat Fitzgerald,BigTen,"3,305,818.00",2017,10,3,77,"Evanston, Illinois",49256,92
2020,Northwestern,Pat Fitzgerald,BigTen,"5,144,000.00",2019,7,2,78,"Evanston, Illinois",49256,92
2020,Notre Dame,Brian Kelly,ACC,"2,129,638.00",2019,10,2,83,"Notre Dame, Indiana",80795,87
2017,Notre Dame,Brian Kelly,Indep,"1,624,730.00",2016,4,8,33,"Notre Dame, Indiana",80795,87
2015,Notre Dame,Brian Kelly,Indep,"1,457,284.00",2014,8,5,62,"Notre Dame, Indiana",80795,87
2016,Notre Dame,Brian Kelly,Indep,"1,187,272.00",2015,10,3,77,"Notre Dame, Indiana",80795,87
2018,Notre Dame,Brian Kelly,Indep,"1,645,867.00",2017,10,3,77,"Notre Dame, Indiana",80795,87
2019,Notre Dame,Brian Kelly,Indep,"2,129,638.00",2018,11,2,85,"Notre Dame, Indiana",80795,87
2015,Ohio,Frank Solich,MAC,"553,000.00",2014,6,6,50,"Athens, Ohio",24000,68
2019,Ohio,Frank Solich,MAC,"580,331.00",2018,7,6,54,"Athens, Ohio",24000,68
2017,Ohio,Frank Solich,MAC,"572,715.00",2016,8,6,57,"Athens, Ohio",24000,68
2016,Ohio,Frank Solich,MAC,"562,760.00",2015,8,5,62,"Athens, Ohio",24000,68
2020,Ohio,Frank Solich,MAC,"589,928.00",2019,2,1,67,"Athens, Ohio",24000,68
2018,Ohio,Frank Solich,MAC,"522,715.00",2017,9,4,69,"Athens, Ohio",24000,68
2020,Ohio State,Ryan Day,BigTen,"5,748,264.00",2019,7,1,88,"Columbus, Ohio",104944,44
2017,Ohio State,Urban Meyer,BigTen,"6,003,000.00",2016,11,2,85,"Columbus, Ohio",104944,44
